tweet_id	retweet_count	favorite_count
892420643555336193	7019	33851
892177421306343426	5303	29359
891815181378084864	3486	22079
891689557279858688	7232	36973
891327558926688256	7773	35347
891087950875897856	2603	17828
890971913173991426	1670	10380
890729181411237888	15773	56902
890609185150312448	3627	24551
890240255349198849	6107	27990
890006608113172480	6157	27065
889880896479866881	4173	24589
889665388333682689	8360	42092
889638837579907072	3720	23707
889531135344209921	1885	13358
889278841981685760	4449	22145
888917238123831296	3769	25659
888804989199671297	3543	22492
888554962724278272	2881	17337
888078434458587136	2901	19166
887705289381826560	4542	26655
887517139158093824	9860	40767
887473957103951883	15047	60247
887343217045368832	8817	29615
887101392804085760	4998	27007
886983233522544640	6325	30419
886736880519319552	2635	10508
886680336477933568	3743	19760
886366144734445568	2634	18564
886267009285017600	4	105
886258384151887873	5298	24552
886054160059072513	93	0
885984800019947520	5620	28637
885528943205470208	5335	31627
885518971528720385	3110	18029
885311592912609280	15451	0
885167619883638784	3672	19276
884925521741709313	15044	67370
884876753390489601	4677	24407
884562892145688576	3917	21343
884441805382717440	4795	23887
884247878851493888	16937	63377
884162670584377345	2509	17960
883838122936631299	2866	19196
883482846933004288	8279	40247
883360690899218434	3086	19967
883117836046086144	5542	32544
882992080364220416	3249	21002
882762694511734784	4104	24825
882627270321602560	5071	24604
882268110199369728	9648	39235
882045870035918850	4086	25754
881906580714921986	2857	21461
881666595344535552	8969	44588
881633300179243008	8	113
881536004380872706	13414	43494
881268444196462592	4497	20502
880935762899988482	2335	15067
880872448815771648	3204	18723
880465832366813184	5220	25045
880221127280381952	3473	23688
880095782870896641	3656	24361
879862464715927552	2933	19728
879674319642796034	9	282
879492040517615616	2630	20723
879415818425184262	37490	92963
879376492567855104	2654	14874
879130579576475649	5748	0
879050749262655488	3959	19828
879008229531029506	2246	16800
878776093423087618	3440	17147
878404777348136964	1079	0
878316110768087041	5534	0
878281511006478336	1079	6789
878057613040115712	5748	37178
877736472329191424	15838	69393
877611172832227328	70	0
877556246731214848	3174	19923
877316821321428993	4352	24180
877201837425926144	4637	23893
876838120628539392	2807	18236
876537666061221889	3976	21066
876484053909872640	2005	16582
876120275196170240	3909	24710
875747767867523072	3588	22133
875144289856114688	4160	19432
875097192612077568	5122	24269
875021211251597312	3980	22571
874680097055178752	3925	24626
874434818259525634	12226	0
874296783580663808	3487	22987
874057562936811520	3383	20134
874012996292530176	8603	30159
873580283840344065	3345	21405
873337748698140672	1333	0
873213775632977920	1333	6327
872967104147763200	4569	24107
872820683541237760	3170	13081
872620804844003328	3071	18346
872486979161796608	7726	36130
872122724285648897	6837	30263
871879754684805121	9260	33143
871762521631449091	2973	17905
871515927908634625	2946	17914
871166179821445120	4898	0
871102520638267392	4690	18567
871032628920680449	3230	20177
870804317367881728	5289	29832
870726314365509632	3	105
870656317836468226	2214	10899
870374049280663552	22770	74014
870308999962521604	3554	19498
870063196459192321	7083	32452
869772420881756160	8707	38067
869702957897576449	5391	25091
869596645499047938	2642	14230
869227993411051520	3202	18156
868880397819494401	12275	58045
868639477480148993	1757	0
868622495443632128	4482	23669
868552278524837888	1757	8980
867900495410671616	3579	21631
867774946302451713	6263	30310
867421006826221569	2119	14362
867072653475098625	101	0
867051520902168576	6795	28739
866720684873056260	4136	17894
866686824827068416	2975	17151
866450705531457537	30253	109001
866334964761202691	12226	46663
866094527597207552	7175	0
865718153858494464	4859	22957
865359393868664832	4299	23639
865006731092295680	6685	25066
864873206498414592	7503	28894
864279568663928832	2589	13087
864197398364647424	7599	26669
863907417377173506	3597	18468
863553081350529029	3641	13697
863471782782697472	2093	0
863432100342583297	4565	21339
863427515083354112	80	1962
863079547188785154	954	7915
863062471531167744	2093	7537
862831371563274240	4465	17232
862722525377298433	3093	15350
862457590147678208	4266	18301
862096992088072192	20031	66395
861383897657036800	9281	32329
861288531465048066	3595	15366
861005113778896900	3344	15014
860981674716409858	1859	0
860924035999428608	679	0
860563773140209665	1859	6736
860524505164394496	4611	21290
860276583193509888	3082	16605
860184849394610176	5131	15041
860177593139703809	26793	0
859924526012018688	3590	17658
859851578198683649	3073	13989
859607811541651456	1368	16861
859196978902773760	26330	80670
859074603037188101	11987	30486
858860390427611136	7100	0
858843525470990336	3032	14146
858471635011153920	4270	19512
858107933456039936	2542	14259
857989990357356544	2271	14511
857746408056729600	9367	30866
857393404942143489	1444	5317
857263160327368704	3992	18275
857214891891077121	16	204
857062103051644929	148	0
857029823797047296	3499	17078
856543823941562368	2553	14855
856526610513747968	1657	10842
856288084350160898	15	489
856282028240666624	5591	25289
855862651834028034	21	303
855860136149123072	853	4421
855857698524602368	1866	10871
855851453814013952	16156	41944
855818117272018944	4823	24313
855459453768019968	7320	27141
855245323840757760	5277	0
855138241867124737	36	0
854732716440526848	5366	20725
854482394044301312	6041	26635
854365224396361728	4166	17226
854120357044912130	6604	29280
854010172552949760	2801	14862
853760880890318849	5121	26130
853639147608842240	8897	31607
853299958564483072	3178	14196
852936405516943360	1792	0
852912242202992640	1602	8269
852672615818899456	1917	13669
852553447878664193	3128	14922
852311364735569921	8899	30404
852226086759018497	6107	18381
852189679701164033	1421	10585
851591660324737024	3134	14987
851464819735769094	6327	22304
851224888060895234	5183	19078
